"Year","Rank","Institution","Satisfied_with_Course","Satisfied_with_Teaching","Satisfied_with_Feedback","Student_to Staff_Ratio","Spend_per_Student","Average_Entry_Tariff","Value_Added_Score","Career_after_15 months","Continuation","Guardian Score"
"2021","20","Aberdeen","87","86","69","16","4.4","183","6.6","82","94","68.1"
"2020","34","Aberdeen","86","87","71","16","4.3","184","6.8","81","91","62.5"
"2019","51","Aberdeen","86","88","67","15","4.5","181","6.2","77","90","64.9"
"2018","46","Aberdeen","86","88","68","14","4.5","168","6.3","78","0","62.3"
"2017","36","Aberdeen","84","86","65","13","5.8","442","6","76","0","66.1"
"2016","41","Aberdeen","86","86","64","13","5.4","446","6","75","0","66.8"
"2015","41","Aberdeen","88","88","67","15","4.9","444","5.3","76","0","62.5"
"2014","43","Aberdeen","88","86","64","16","5.2","443","6","72","0","64.2"
"2013","38","Aberdeen","88","88","66","16","5.6","397","6.6","69","0","64"
"2012","45","Aberdeen","88","87","64","15","5.2","330","6.5","67","0","60.3"
"2011","33","Aberdeen","89","89","66","15","5","353","5.9","76","0","64.7"
"2022","20","Aberdeen","86","85","66","15","4.8","184","7","82","94","74.5"
"2021","48","Abertay Dundee","88","88","80","21","2.1","142","7","71","89","61.2"
"2020","87","Abertay Dundee","78","82","75","19","2.4","142","5.6","74","87","46.8"
"2019","68","Abertay Dundee","85","86","75","18","2.3","154","5.8","66","88","62.4"
"2018","66","Abertay Dundee","88","89","76","19","2.3","158","6.7","68","0","56.8"
"2017","85","Abertay Dundee","87","88","72","19","2.6","346","6.7","65","0","53.4"
"2016","93","Abertay Dundee","84","85","64","21","2.6","337","7.5","61","0","51"
"2015","101","Abertay Dundee","83","86","59","21","2.4","330","6.6","67","0","46.3"
"2014","114","Abertay Dundee","81","82","59","24","1.8","315","5","52","0","35.3"
"2013","119","Abertay Dundee","0","0","0","25","2.1","277","4.9","47","0","30.2"
"2012","106","Abertay Dundee","0","0","0","19","2.7","242","4.6","55","0","43.2"
